hgnc,target_species,ensembl_types_simple,toga_types,n_q_genes,n_projected_entries,has_ensembl,has_toga,type_match,cell_status,ens_rel_start,ens_rel_end,ens_len,ens_target_id,ens_gene_name,zoo_rel_start,zoo_rel_end,zoo_len,zoo_id,delta_start,delta_end
AHR,bos_taurus,one2one,,,,TRUE,FALSE,,Ensembl only,0.0505882352941176,0.0988235294117647,850,ENSBTAG00000007746,AHR,,,,,,
AHR,canis_lupus_familiaris,one2one,one2one,1,1,TRUE,TRUE,TRUE,Type match,0.0433763188745603,0.0914419695193435,853,ENSCAFG00845005867,AHR,0.00600961538461538,0.07932692307692307,832,reg_9644,0.037366703489944926,0.012115046442420424
AHR,gorilla_gorilla,one2one,one2one,1,2,TRUE,TRUE,TRUE,Type match,0.0435294117647058,0.0917647058823529,850,ENSGGOG00000011367,AHR,0.03172737955346651,0.10340775558166862,851,reg_3297,0.011802032211239294,0.011643049699315719
AHR,macaca_mulatta,one2one,,,,TRUE,FALSE,,Ensembl only,0.0436320754716981,0.0919811320754716,848,ENSMMUG00000012203,AHR,,,,,,
AHR,monodelphis_domestica,one2one,one2one,1,2,TRUE,TRUE,TRUE,Type match,0.0466257668711656,0.0969325153374233,815,ENSMODG00000001528,AHR,0.00646830530401035,0.08538163001293661,773,reg_3903,0.040157461567155245,0.011550885324486684
AHR,mus_musculus,one2one,one2one,1,2,TRUE,TRUE,TRUE,Type match,0.0447204968944099,0.0956521739130434,805,ENSMUSG00000019256,Ahr,0.03062426383981154,0.10247349823321555,849,reg_310,0.01409623305459836,0.006821324320172156
AHR,pan_troglodytes,one2one,one2one,1,2,TRUE,TRUE,TRUE,Type match,0.0435294117647058,0.0917647058823529,850,ENSPTRG00000018955,AHR,0.03172737955346651,0.10340775558166862,851,reg_11480,0.011802032211239294,0.011643049699315719
AHR,rattus_norvegicus,one2one,one2one,1,2,TRUE,TRUE,TRUE,Type match,0.0437424058323207,0.0935601458080194,823,ENSRNOG00000004342,Ahr,0.03044496487119438,0.1018735362997658,854,reg_2967,0.013297440961126318,0.008313390491746397
AHRR,bos_taurus,one2one,one2one,1,3,TRUE,TRUE,TRUE,Type match,0.0931506849315068,0.1493150684931506,730,ENSBTAG00000026527,AHRR,0.03443328550932568,0.12195121951219512,697,reg_9920,0.05871739942218112,0.02736384898095548
AHRR,canis_lupus_familiaris,one2one,one2one,1,1,TRUE,TRUE,TRUE,Type match,0.0368794326241134,0.0950354609929078,705,ENSCAFG00845014897,AHRR,0.03215926493108729,0.03522205206738132,653,reg_13214,0.004720167693026106,0.05981340892552648
AHRR,gorilla_gorilla,one2one,one2one,1,4,TRUE,TRUE,TRUE,Type match,0.0529247910863509,0.1100278551532033,718,ENSGGOG00000013694,AHRR,0.03443328550932568,0.12195121951219512,697,reg_16613,0.018491505577025218,0.011923364358991814
AHRR,macaca_mulatta,one2one,one2one,1,1,TRUE,TRUE,TRUE,Type match,0.048780487804878,0.1076040172166427,697,ENSMMUG00000000752,AHRR,0.03438395415472779,0.12177650429799428,698,reg_5531,0.014396533650150214,0.014172487081351576
AHRR,mus_musculus,one2one,one2one,1,3,TRUE,TRUE,TRUE,Type match,0.0499286733238231,0.108416547788873,701,ENSMUSG00000021575,Ahrr,0.03561253561253561,0.1225071225071225,702,reg_10013,0.014316137711287487,0.01409057471824951
AHRR,pan_troglodytes,one2one,one2one,1,2,TRUE,TRUE,TRUE,Type match,0.0528511821974965,0.1098748261474269,719,ENSPTRG00000028788,AHRR,0.03438395415472779,0.12177650429799428,698,reg_13775,0.018467228042768714,0.011901678150567377
ARNT,bos_taurus,one2one,one2one,1,3,TRUE,TRUE,TRUE,Type match,0.1338289962825278,0.1970260223048327,807,ENSBTAG00000021037,ARNT,0.1125158027812895,0.18710493046776233,791,reg_11994,0.02131319350123831,0.009921091837070378
ARNT,canis_lupus_familiaris,one2one,one2one,1,4,TRUE,TRUE,TRUE,Type match,0.1151898734177215,0.1797468354430379,790,ENSCAFG00845019671,ARNT,0.1125158027812895,0.18710493046776233,791,reg_4123,0.002674070636431991,0.007358095024724426
ARNT,gorilla_gorilla,one2one,one2one,1,2,TRUE,TRUE,TRUE,Type match,0.1153358681875792,0.1799746514575411,789,ENSGGOG00000015383,ARNT,0.10309278350515463,0.1791237113402062,776,reg_8111,0.012243084682424563,8.50940117334914e-4
ARNT,macaca_mulatta,one2one,one2one,1,2,TRUE,TRUE,TRUE,Type match,0.1157760814249363,0.1806615776081425,786,ENSMMUG00000000541,ARNT,0.11265822784810128,0.18734177215189873,790,reg_3946,0.003117853576835014,0.006680194543756235
ARNT,monodelphis_domestica,one2one,one2one,1,4,TRUE,TRUE,TRUE,Type match,0.1153358681875792,0.1799746514575411,789,ENSMODG00000018814,ARNT,0.10243277848911651,0.17797695262483995,781,reg_5647,0.012903089698462683,0.0019976988327011502
