Gene stable ID	Gene stable ID version	Transcript stable ID	Transcript stable ID version	Gene name	3' UTR start	3' UTR end	Chromosome/scaffold name
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL	73596364	73596422	7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL	73596153	73596272	7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL	73595842	73595969	7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL	73595637	73595760	7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL	73594274	73594403	7
ENSG00000009950	ENSG00000009950.16	ENST00000345114	ENST00000345114.9	MLXIPL	73593194	73593983	7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000414749	ENST00000414749.6	MLXIPL	73593194	73593864	7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL	73593194	73593864	7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000429400	ENST00000429400.6	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000354613	ENST00000354613.5	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000354613	ENST00000354613.5	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000354613	ENST00000354613.5	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000354613	ENST00000354613.5	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000354613	ENST00000354613.5	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000354613	ENST00000354613.5	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000354613	ENST00000354613.5	MLXIPL			7
ENSG00000009950	ENSG00000009950.16	ENST00000354613	ENST00000354613.5	MLXIPL			7
