t_gene	t_transcript	q_gene	q_transcript	orthology_class
ENSG00000283809	ENST00000638240.AC007326.13	reg_15880	ENST00000638240.AC007326.13.661	many2one
ENSG00000128185	ENST00000405465.DGCR6L	reg_15880	ENST00000405465.DGCR6L.186	many2one
ENSG00000128185	ENST00000248879.DGCR6L	reg_15880	ENST00000248879.DGCR6L.186	many2one
ENSG00000183628	ENST00000331444.DGCR6	reg_15880	ENST00000331444.DGCR6.661	many2one
ENSG00000137502	ENST00000534141.RAB30	reg_2361	ENST00000534141.RAB30.39	one2one
ENSG00000137502	ENST00000527633.RAB30	reg_2361	ENST00000527633.RAB30.39	one2one
ENSG00000140478	ENST00000618219.GOLGA6D	reg_4251	ENST00000618219.GOLGA6D.1450	many2many
ENSG00000140478	ENST00000618219.GOLGA6D	reg_4421	ENST00000618219.GOLGA6D.101686	many2many
ENSG00000140478	ENST00000434739.GOLGA6D	reg_4251	ENST00000434739.GOLGA6D.1450	many2many
ENSG00000140478	ENST00000434739.GOLGA6D	reg_4421	ENST00000434739.GOLGA6D.101686	many2many
ENSG00000186399	ENST00000327271.GOLGA8R	reg_4421	ENST00000327271.GOLGA8R.96490	many2many
ENSG00000186399	ENST00000327271.GOLGA8R	reg_4251	ENST00000327271.GOLGA8R.1636	many2many
ENSG00000261794	ENST00000566740.GOLGA8H	reg_4421	ENST00000566740.GOLGA8H.87745	many2many
ENSG00000261794	ENST00000566740.GOLGA8H	reg_4251	ENST00000566740.GOLGA8H.3093	many2many
ENSG00000278662	ENST00000619556.GOLGA6L10	reg_4251	ENST00000619556.GOLGA6L10.3792	many2many
ENSG00000278662	ENST00000610657.GOLGA6L10	reg_4251	ENST00000610657.GOLGA6L10.3792	many2many
ENSG00000178115	ENST00000562783.GOLGA8Q	reg_4421	ENST00000562783.GOLGA8Q.104398	many2many
ENSG00000178115	ENST00000562783.GOLGA8Q	reg_4251	ENST00000562783.GOLGA8Q.1601	many2many
ENSG00000197978	ENST00000618348.GOLGA6L9	reg_4251	ENST00000618348.GOLGA6L9.2541	many2many
ENSG00000153684	ENST00000532622.GOLGA8F	reg_4421	ENST00000532622.GOLGA8F.96305	many2many
ENSG00000153684	ENST00000532622.GOLGA8F	reg_4251	ENST00000532622.GOLGA8F.2870	many2many
ENSG00000153684	ENST00000526619.GOLGA8F	reg_4251	ENST00000526619.GOLGA8F.2870	many2many
ENSG00000159289	ENST00000290438.GOLGA6A	reg_4251	ENST00000290438.GOLGA6A.1462	many2many
ENSG00000159289	ENST00000290438.GOLGA6A	reg_4421	ENST00000290438.GOLGA6A.103453	many2many
ENSG00000167195	ENST00000300576.GOLGA6C	reg_4251	ENST00000300576.GOLGA6C.2295	many2many
ENSG00000167195	ENST00000300576.GOLGA6C	reg_4421	ENST00000300576.GOLGA6C.101508	many2many
ENSG00000273976	ENST00000614055.GOLGA6L1	reg_4421	ENST00000614055.GOLGA6L1.127025	many2many
ENSG00000167110	ENST00000421699.GOLGA2	reg_4251	ENST00000421699.GOLGA2.98	many2many
ENSG00000167110	ENST00000421699.GOLGA2	reg_4421	ENST00000421699.GOLGA2.19245	many2many
ENSG00000167110	ENST00000611957.GOLGA2	reg_4421	ENST00000611957.GOLGA2.19245	many2many
ENSG00000167110	ENST00000611957.GOLGA2	reg_4251	ENST00000611957.GOLGA2.98	many2many
ENSG00000232653	ENST00000448387.GOLGA8N	reg_4251	ENST00000448387.GOLGA8N.3078	many2many
ENSG00000232653	ENST00000448387.GOLGA8N	reg_4421	ENST00000448387.GOLGA8N.92372	many2many
ENSG00000232653	ENST00000569659.GOLGA8N	reg_4251	ENST00000569659.GOLGA8N.3078	many2many
ENSG00000184206	ENST00000422563.GOLGA6L4	reg_4251	ENST00000422563.GOLGA6L4.3818	many2many
ENSG00000261247	ENST00000569052.GOLGA8T	reg_4251	ENST00000569052.GOLGA8T.1738	many2many
ENSG00000261247	ENST00000569052.GOLGA8T	reg_4421	ENST00000569052.GOLGA8T.89949	many2many
ENSG00000179938	ENST00000567927.GOLGA8J	reg_4421	ENST00000567927.GOLGA8J.91019	many2many
ENSG00000179938	ENST00000567927.GOLGA8J	reg_4251	ENST00000567927.GOLGA8J.1606	many2many
ENSG00000261739	ENST00000562295.GOLGA8S	reg_4251	ENST00000562295.GOLGA8S.2892	many2many
ENSG00000261739	ENST00000562295.GOLGA8S	reg_4421	ENST00000562295.GOLGA8S.98151	many2many
ENSG00000174450	ENST00000312015.GOLGA6L2	reg_4421	ENST00000312015.GOLGA6L2.116997	many2many
ENSG00000215186	ENST00000421285.GOLGA6B	reg_4251	ENST00000421285.GOLGA6B.2139	many2many
ENSG00000249931	ENST00000512626.GOLGA8K	reg_4421	ENST00000512626.GOLGA8K.90801	many2many
ENSG00000249931	ENST00000512626.GOLGA8K	reg_4251	ENST00000512626.GOLGA8K.1755	many2many
ENSG00000188626	ENST00000563027.GOLGA8M	reg_4251	ENST00000563027.GOLGA8M.2922	many2many
ENSG00000188626	ENST00000563027.GOLGA8M	reg_4421	ENST00000563027.GOLGA8M.87857	many2many
ENSG00000277322	ENST00000619213.GOLGA6L6	reg_4421	ENST00000619213.GOLGA6L6.126035	many2many
ENSG00000206127	ENST00000509311.GOLGA8O	reg_4251	ENST00000509311.GOLGA8O.1647	many2many
ENSG00000206127	ENST00000509311.GOLGA8O	reg_4421	ENST00000509311.GOLGA8O.104621	many2many
ENSG00000183629	ENST00000525590.GOLGA8G	reg_4251	ENST00000525590.GOLGA8G.2880	many2many
ENSG00000183629	ENST00000525590.GOLGA8G	reg_4421	ENST00000525590.GOLGA8G.95783	many2many
