hgnc,target_species,ensembl_target_ids,ensembl_gene_names,ensembl_homology_types,ensembl_types_simple,toga_q_genes,toga_q_transcripts,toga_homology_types,has_ensembl,has_toga,type_match,cell_status
AHR,bos_taurus,ENSBTAG00000007746,AHR,ortholog_one2one,one2one,reg_6134,ENST00000242057.AHR.6;ENST00000642825.AHR.6,one2one,TRUE,TRUE,TRUE,Type match
AHR,canis_lupus_familiaris,ENSCAFG00845005867,AHR,ortholog_one2one,one2one,reg_9644,ENST00000242057.AHR.9;ENST00000642825.AHR.9,one2one,TRUE,TRUE,TRUE,Type match
AHR,gorilla_gorilla,ENSGGOG00000011367,AHR,ortholog_one2one,one2one,reg_3297,ENST00000242057.AHR.8;ENST00000642825.AHR.8,one2one,TRUE,TRUE,TRUE,Type match
AHR,macaca_mulatta,ENSMMUG00000012203,AHR,ortholog_one2one,one2one,reg_4962,ENST00000242057.AHR.24;ENST00000642825.AHR.24,one2one,TRUE,TRUE,TRUE,Type match
AHR,monodelphis_domestica,ENSMODG00000001528,AHR,ortholog_one2one,one2one,reg_3903,ENST00000642825.AHR.49,one2one,TRUE,TRUE,TRUE,Type match
AHR,mus_musculus,ENSMUSG00000019256,Ahr,ortholog_one2one,one2one,reg_310,ENST00000242057.AHR.80;ENST00000642825.AHR.80,one2one,TRUE,TRUE,TRUE,Type match
AHR,pan_troglodytes,ENSPTRG00000018955,AHR,ortholog_one2one,one2one,reg_11480,ENST00000242057.AHR.6;ENST00000642825.AHR.6,one2one,TRUE,TRUE,TRUE,Type match
AHR,rattus_norvegicus,ENSRNOG00000004342,Ahr,ortholog_one2one,one2one,reg_2967,ENST00000242057.AHR.81;ENST00000642825.AHR.81,one2one,TRUE,TRUE,TRUE,Type match
AHRR,bos_taurus,ENSBTAG00000026527,AHRR,ortholog_one2one,one2one,reg_9920,ENST00000506456.AHRR.5;ENST00000652417.AHRR.5;ENST00000684583.AHRR.5,one2one,TRUE,TRUE,TRUE,Type match
AHRR,canis_lupus_familiaris,ENSCAFG00845014897,AHRR,ortholog_one2one,one2one,reg_13214,ENST00000506456.AHRR.80;ENST00000652417.AHRR.80;ENST00000684583.AHRR.80,one2one,TRUE,TRUE,TRUE,Type match
AHRR,gorilla_gorilla,ENSGGOG00000013694,AHRR,ortholog_one2one,one2one,reg_16613,ENST00000506456.AHRR.18;ENST00000515206.AHRR.18;ENST00000652417.AHRR.18;ENST00000684583.AHRR.18,one2one,TRUE,TRUE,TRUE,Type match
AHRR,macaca_mulatta,ENSMMUG00000000752,AHRR,ortholog_one2one,one2one,reg_5531,ENST00000506456.AHRR.1;ENST00000515206.AHRR.1;ENST00000652417.AHRR.1;ENST00000684583.AHRR.1,one2one,TRUE,TRUE,TRUE,Type match
AHRR,monodelphis_domestica,ENSMODG00000036487,AHRR,ortholog_one2one,one2one,reg_1211,ENST00000652417.AHRR.39,one2one,TRUE,TRUE,TRUE,Type match
AHRR,mus_musculus,ENSMUSG00000021575,Ahrr,ortholog_one2one,one2one,reg_10013,ENST00000506456.AHRR.116;ENST00000652417.AHRR.116;ENST00000684583.AHRR.116,one2one,TRUE,TRUE,TRUE,Type match
AHRR,pan_troglodytes,ENSPTRG00000028788,AHRR,ortholog_one2one,one2one,reg_13775,ENST00000506456.AHRR.12;ENST00000515206.AHRR.12;ENST00000652417.AHRR.12;ENST00000684583.AHRR.12,one2one,TRUE,TRUE,TRUE,Type match
AHRR,rattus_norvegicus,,,,,reg_18385,ENST00000506456.AHRR.115;ENST00000652417.AHRR.115;ENST00000684583.AHRR.115,one2one,FALSE,TRUE,,TOGA only
ARNT,bos_taurus,ENSBTAG00000021037,ARNT,ortholog_one2one,one2one,reg_11994,ENST00000354396.ARNT.1;ENST00000358595.ARNT.1;ENST00000505755.ARNT.1;ENST00000515192.ARNT.1,one2one,TRUE,TRUE,TRUE,Type match
ARNT,canis_lupus_familiaris,ENSCAFG00845019671,ARNT,ortholog_one2one,one2one,reg_4123,ENST00000354396.ARNT.81;ENST00000358595.ARNT.81;ENST00000505755.ARNT.81;ENST00000515192.ARNT.81,one2one,TRUE,TRUE,TRUE,Type match
ARNT,gorilla_gorilla,ENSGGOG00000015383,ARNT,ortholog_one2one,one2one,reg_8111,ENST00000354396.ARNT.2;ENST00000358595.ARNT.2;ENST00000505755.ARNT.2;ENST00000515192.ARNT.2,one2one,TRUE,TRUE,TRUE,Type match
ARNT,macaca_mulatta,ENSMMUG00000000541,ARNT,ortholog_one2one,one2one,reg_3946,ENST00000354396.ARNT.2;ENST00000358595.ARNT.2;ENST00000505755.ARNT.2;ENST00000515192.ARNT.2,one2one,TRUE,TRUE,TRUE,Type match
ARNT,monodelphis_domestica,ENSMODG00000018814,ARNT,ortholog_one2one,one2one,reg_5647,ENST00000354396.ARNT.14;ENST00000358595.ARNT.14;ENST00000505755.ARNT.14;ENST00000515192.ARNT.14,one2one,TRUE,TRUE,TRUE,Type match
ARNT,mus_musculus,ENSMUSG00000015522,Arnt,ortholog_one2one,one2one,reg_10881,ENST00000354396.ARNT.4;ENST00000358595.ARNT.4;ENST00000505755.ARNT.4;ENST00000515192.ARNT.4,one2one,TRUE,TRUE,TRUE,Type match
ARNT,pan_troglodytes,ENSPTRG00000001266,ARNT,ortholog_one2one,one2one,reg_2056,ENST00000354396.ARNT.1;ENST00000358595.ARNT.1;ENST00000505755.ARNT.1;ENST00000515192.ARNT.1,one2one,TRUE,TRUE,TRUE,Type match
ARNT,rattus_norvegicus,ENSRNOG00000031174,Arnt,ortholog_one2one,one2one,reg_2019,ENST00000354396.ARNT.7;ENST00000358595.ARNT.7;ENST00000505755.ARNT.7;ENST00000515192.ARNT.7,one2one,TRUE,TRUE,TRUE,Type match
ARNT2,bos_taurus,ENSBTAG00000012351,ARNT2,ortholog_one2one,one2one,reg_15762,ENST00000303329.ARNT2.137;ENST00000533983.ARNT2.137;ENST00000622346.ARNT2.137,one2one,TRUE,TRUE,TRUE,Type match
ARNT2,canis_lupus_familiaris,ENSCAFG00845004996,ARNT2,ortholog_one2one,one2one,reg_5402,ENST00000303329.ARNT2.61;ENST00000533983.ARNT2.61;ENST00000622346.ARNT2.61,one2one,TRUE,TRUE,TRUE,Type match
ARNT2,gorilla_gorilla,ENSGGOG00000012245,,ortholog_one2one,one2one,reg_5646,ENST00000303329.ARNT2.15;ENST00000533983.ARNT2.15;ENST00000622346.ARNT2.15,one2one,TRUE,TRUE,TRUE,Type match
ARNT2,macaca_mulatta,ENSMMUG00000011566,ARNT2,ortholog_one2one,one2one,reg_38,ENST00000303329.ARNT2.14;ENST00000533983.ARNT2.14;ENST00000622346.ARNT2.14,one2one,TRUE,TRUE,TRUE,Type match
ARNT2,monodelphis_domestica,ENSMODG00000019416,ARNT2,ortholog_one2one,one2one,reg_7718,ENST00000303329.ARNT2.190;ENST00000533983.ARNT2.190;ENST00000622346.ARNT2.190,one2one,TRUE,TRUE,TRUE,Type match
ARNT2,mus_musculus,ENSMUSG00000015709,Arnt2,ortholog_one2one,one2one,reg_7979,ENST00000303329.ARNT2.52;ENST00000533983.ARNT2.52;ENST00000622346.ARNT2.52,one2one,TRUE,TRUE,TRUE,Type match
ARNT2,pan_troglodytes,ENSPTRG00000007363,ARNT2,ortholog_one2one,one2one,reg_18454,ENST00000303329.ARNT2.18;ENST00000533983.ARNT2.18;ENST00000622346.ARNT2.18,one2one,TRUE,TRUE,TRUE,Type match
ARNT2,rattus_norvegicus,ENSRNOG00000013017,Arnt2,ortholog_one2one,one2one,reg_3574,ENST00000303329.ARNT2.48;ENST00000533983.ARNT2.48;ENST00000622346.ARNT2.48,one2one,TRUE,TRUE,TRUE,Type match
ARNTL,bos_taurus,ENSBTAG00000013029,ARNTL,ortholog_one2one,one2one,reg_6511,ENST00000389707.ARNTL.37;ENST00000401424.ARNTL.37;ENST00000403290.ARNTL.37;ENST00000403482.ARNTL.37;ENST00000403510.ARNTL.37;ENST00000673817.ARNTL.37,one2one,TRUE,TRUE,TRUE,Type match
ARNTL,canis_lupus_familiaris,ENSCAFG00845020372,BMAL1,ortholog_one2one,one2one,reg_1391,ENST00000389707.ARNTL.33;ENST00000401424.ARNTL.33;ENST00000403290.ARNTL.33;ENST00000403482.ARNTL.33;ENST00000403510.ARNTL.33;ENST00000673817.ARNTL.33,one2one,TRUE,TRUE,TRUE,Type match
ARNTL,gorilla_gorilla,ENSGGOG00000013211,BMAL1,ortholog_one2one,one2one,reg_14719,ENST00000389707.ARNTL.6;ENST00000401424.ARNTL.6;ENST00000403290.ARNTL.6;ENST00000403482.ARNTL.6;ENST00000403510.ARNTL.6;ENST00000673817.ARNTL.6,one2one,TRUE,TRUE,TRUE,Type match
ARNTL,macaca_mulatta,ENSMMUG00000009690,ARNTL,ortholog_one2one,one2one,reg_14052,ENST00000389707.ARNTL.21;ENST00000401424.ARNTL.21;ENST00000403290.ARNTL.21;ENST00000403482.ARNTL.21;ENST00000403510.ARNTL.21;ENST00000673817.ARNTL.21,one2one,TRUE,TRUE,TRUE,Type match
ARNTL,monodelphis_domestica,ENSMODG00000008708,BMAL1,ortholog_one2one,one2one,reg_4177,ENST00000389707.ARNTL.13;ENST00000401424.ARNTL.13;ENST00000403290.ARNTL.13;ENST00000403482.ARNTL.13;ENST00000403510.ARNTL.13;ENST00000673817.ARNTL.13,one2one,TRUE,TRUE,TRUE,Type match
ARNTL,mus_musculus,ENSMUSG00000055116,Bmal1,ortholog_one2one,one2one,reg_2372,ENST00000389707.ARNTL.50;ENST00000401424.ARNTL.50;ENST00000403290.ARNTL.50;ENST00000403482.ARNTL.50;ENST00000403510.ARNTL.50;ENST00000673817.ARNTL.50,one2one,TRUE,TRUE,TRUE,Type match
ARNTL,pan_troglodytes,ENSPTRG00000003376,BMAL1,ortholog_one2one,one2one,reg_508,ENST00000389707.ARNTL.8;ENST00000401424.ARNTL.8;ENST00000403290.ARNTL.8;ENST00000403482.ARNTL.8;ENST00000403510.ARNTL.8;ENST00000673817.ARNTL.8,one2one,TRUE,TRUE,TRUE,Type match
ARNTL,rattus_norvegicus,ENSRNOG00000014448,Bmal1,ortholog_one2one,one2one,reg_18209,ENST00000389707.ARNTL.49;ENST00000401424.ARNTL.49;ENST00000403290.ARNTL.49;ENST00000403482.ARNTL.49;ENST00000403510.ARNTL.49;ENST00000673817.ARNTL.49,one2one,TRUE,TRUE,TRUE,Type match
ARNTL2,bos_taurus,ENSBTAG00000011804,ARNTL2,ortholog_one2one,one2one,reg_9225,ENST00000261178.ARNTL2.17;ENST00000266503.ARNTL2.17;ENST00000311001.ARNTL2.17;ENST00000395901.ARNTL2.17;ENST00000542388.ARNTL2.17;ENST00000544915.ARNTL2.17;ENST00000546179.ARNTL2.17,one2one,TRUE,TRUE,TRUE,Type match
ARNTL2,canis_lupus_familiaris,ENSCAFG00845024620,ARNTL2,ortholog_one2one,one2one,reg_6263,ENST00000261178.ARNTL2.8;ENST00000266503.ARNTL2.8;ENST00000311001.ARNTL2.8;ENST00000395901.ARNTL2.8;ENST00000542388.ARNTL2.8;ENST00000544915.ARNTL2.8;ENST00000546179.ARNTL2.8,one2one,TRUE,TRUE,TRUE,Type match
ARNTL2,gorilla_gorilla,ENSGGOG00000007332,BMAL2,ortholog_one2one,one2one,reg_783,ENST00000261178.ARNTL2.26;ENST00000266503.ARNTL2.26;ENST00000311001.ARNTL2.26;ENST00000395901.ARNTL2.26;ENST00000542388.ARNTL2.26;ENST00000544915.ARNTL2.26;ENST00000546179.ARNTL2.26,one2one,TRUE,TRUE,TRUE,Type match
ARNTL2,macaca_mulatta,ENSMMUG00000023249,ARNTL2,ortholog_one2one,one2one,reg_3080,ENST00000261178.ARNTL2.6;ENST00000266503.ARNTL2.6;ENST00000311001.ARNTL2.6;ENST00000395901.ARNTL2.6;ENST00000542388.ARNTL2.6;ENST00000544915.ARNTL2.6;ENST00000546179.ARNTL2.6,one2one,TRUE,TRUE,TRUE,Type match
ARNTL2,monodelphis_domestica,,,,,reg_13640,ENST00000261178.ARNTL2.186;ENST00000266503.ARNTL2.186;ENST00000311001.ARNTL2.186;ENST00000395901.ARNTL2.186;ENST00000542388.ARNTL2.186;ENST00000544915.ARNTL2.186;ENST00000546179.ARNTL2.186,one2one,FALSE,TRUE,,TOGA only
ARNTL2,mus_musculus,ENSMUSG00000040187,Bmal2,ortholog_one2one,one2one,reg_1157,ENST00000261178.ARNTL2.41;ENST00000266503.ARNTL2.41;ENST00000311001.ARNTL2.41;ENST00000395901.ARNTL2.41;ENST00000542388.ARNTL2.41;ENST00000544915.ARNTL2.41;ENST00000546179.ARNTL2.41,one2one,TRUE,TRUE,TRUE,Type match
ARNTL2,pan_troglodytes,ENSPTRG00000004788,BMAL2,ortholog_one2one,one2one,reg_15640,ENST00000261178.ARNTL2.23;ENST00000266503.ARNTL2.23;ENST00000311001.ARNTL2.23;ENST00000395901.ARNTL2.23;ENST00000542388.ARNTL2.23;ENST00000544915.ARNTL2.23;ENST00000546179.ARNTL2.23,one2one,TRUE,TRUE,TRUE,Type match
ARNTL2,rattus_norvegicus,ENSRNOG00000001830,Bmal2,ortholog_one2one,one2one,reg_10674,ENST00000261178.ARNTL2.41;ENST00000266503.ARNTL2.41;ENST00000311001.ARNTL2.41;ENST00000395901.ARNTL2.41;ENST00000542388.ARNTL2.41;ENST00000544915.ARNTL2.41;ENST00000546179.ARNTL2.41,one2one,TRUE,TRUE,TRUE,Type match
ASCL1,bos_taurus,ENSBTAG00000052521,ASCL1,ortholog_one2one,one2one,reg_10362,ENST00000266744.ASCL1.21,one2one,TRUE,TRUE,TRUE,Type match
ASCL1,canis_lupus_familiaris,ENSCAFG00845009710,ASCL1,ortholog_one2one,one2one,reg_9486,ENST00000266744.ASCL1.28,one2one,TRUE,TRUE,TRUE,Type match
ASCL1,gorilla_gorilla,ENSGGOG00000005479,ASCL1,ortholog_one2one,one2one,reg_15591,ENST00000266744.ASCL1.11,one2one,TRUE,TRUE,TRUE,Type match
ASCL1,macaca_mulatta,ENSMMUG00000005747,ASCL1,ortholog_one2one,one2one,reg_3224,ENST00000266744.ASCL1.6,one2one,TRUE,TRUE,TRUE,Type match
ASCL1,monodelphis_domestica,ENSMODG00000041211,ASCL1,ortholog_one2one,one2one,reg_13931,ENST00000266744.ASCL1.16,one2one,TRUE,TRUE,TRUE,Type match
ASCL1,mus_musculus,ENSMUSG00000020052,Ascl1,ortholog_one2one,one2one,reg_18026,ENST00000266744.ASCL1.10,one2one,TRUE,TRUE,TRUE,Type match
ASCL1,pan_troglodytes,ENSPTRG00000005366,ASCL1,ortholog_one2one,one2one,reg_9468,ENST00000266744.ASCL1.16,one2one,TRUE,TRUE,TRUE,Type match
ASCL1,rattus_norvegicus,ENSRNOG00000085519,Ascl1,ortholog_one2one,one2one,reg_10199,ENST00000266744.ASCL1.12,one2one,TRUE,TRUE,TRUE,Type match
ASCL2,bos_taurus,ENSBTAG00000026769,ASCL2,ortholog_one2one,one2one,reg_5863,ENST00000331289.ASCL2.39,one2one,TRUE,TRUE,TRUE,Type match
ASCL2,canis_lupus_familiaris,ENSCAFG00845011417,ASCL2,ortholog_one2one,one2one,reg_3431,ENST00000331289.ASCL2.143,one2one,TRUE,TRUE,TRUE,Type match
ASCL2,gorilla_gorilla,ENSGGOG00000007421,ASCL2,ortholog_one2one,one2one,reg_12441,ENST00000331289.ASCL2.6,one2one,TRUE,TRUE,TRUE,Type match
ASCL2,macaca_mulatta,ENSMMUG00000001322,ASCL2,ortholog_one2one,one2one,reg_14106,ENST00000331289.ASCL2.17,one2one,TRUE,TRUE,TRUE,Type match
ASCL2,monodelphis_domestica,,,,,,,one2zero,FALSE,FALSE,,None
ASCL2,mus_musculus,ENSMUSG00000009248,Ascl2,ortholog_one2one,one2one,reg_8428,ENST00000331289.ASCL2.155,one2one,TRUE,TRUE,TRUE,Type match
ASCL2,pan_troglodytes,ENSPTRG00000044950,ASCL2,ortholog_one2one,one2one,reg_8595,ENST00000331289.ASCL2.8,one2one,TRUE,TRUE,TRUE,Type match
ASCL2,rattus_norvegicus,ENSRNOG00000020434,Ascl2,ortholog_one2one,one2one,reg_4584,ENST00000331289.ASCL2.145,one2one,TRUE,TRUE,TRUE,Type match
ASCL3,bos_taurus,ENSBTAG00000032339,ASCL3,ortholog_one2one,one2one,reg_2866,ENST00000531618.ASCL3.37,one2one,TRUE,TRUE,TRUE,Type match
ASCL3,canis_lupus_familiaris,,,,,reg_16414,ENST00000531618.ASCL3.33,one2one,FALSE,TRUE,,TOGA only
ASCL3,gorilla_gorilla,,,,,reg_11977,ENST00000531618.ASCL3.6,one2one,FALSE,TRUE,,TOGA only
ASCL3,macaca_mulatta,ENSMMUG00000001997,ASCL3,ortholog_one2one,one2one,reg_14785,ENST00000531618.ASCL3.21,one2one,TRUE,TRUE,TRUE,Type match
ASCL3,monodelphis_domestica,ENSMODG00000024589,ASCL3,ortholog_one2one,one2one,reg_9819,ENST00000531618.ASCL3.13,one2one,TRUE,TRUE,TRUE,Type match
ASCL3,mus_musculus,ENSMUSG00000035951,Ascl3,ortholog_one2one,one2one,reg_8015,ENST00000531618.ASCL3.50,one2one,TRUE,TRUE,TRUE,Type match
ASCL3,pan_troglodytes,ENSPTRG00000003339,ASCL3,ortholog_one2one,one2one,reg_8533,ENST00000531618.ASCL3.8,one2one,TRUE,TRUE,TRUE,Type match
ASCL3,rattus_norvegicus,ENSRNOG00000013591,Tmem9b,ortholog_one2one,one2one,reg_4498,ENST00000531618.ASCL3.49,one2one,TRUE,TRUE,TRUE,Type match
ASCL4,bos_taurus,ENSBTAG00000046402,ASCL4,ortholog_one2one,one2one,reg_10564,ENST00000342331.ASCL4.21,one2one,TRUE,TRUE,TRUE,Type match
ASCL4,canis_lupus_familiaris,ENSCAFG00845011320,ASCL4,ortholog_one2one,one2one,reg_789,ENST00000342331.ASCL4.108,one2one,TRUE,TRUE,TRUE,Type match
ASCL4,gorilla_gorilla,ENSGGOG00000025905,ASCL4,ortholog_one2one,one2one,reg_15756,ENST00000342331.ASCL4.11,one2one,TRUE,TRUE,TRUE,Type match
ASCL4,macaca_mulatta,ENSMMUG00000064376,ASCL4,ortholog_one2one,one2one,reg_2904,ENST00000342331.ASCL4.6,one2one,TRUE,TRUE,TRUE,Type match
ASCL4,monodelphis_domestica,ENSMODG00000024943,ASCL4,ortholog_one2one,one2one,reg_13982,ENST00000342331.ASCL4.16,one2one,TRUE,TRUE,TRUE,Type match
ASCL4,mus_musculus,ENSMUSG00000085111,Ascl4,ortholog_one2one,one2one,reg_5313,ENST00000342331.ASCL4.124,one2one,TRUE,TRUE,TRUE,Type match
ASCL4,pan_troglodytes,ENSPTRG00000005401,ASCL4,ortholog_one2one,one2one,reg_9540,ENST00000342331.ASCL4.16,one2one,TRUE,TRUE,TRUE,Type match
ASCL4,rattus_norvegicus,ENSRNOG00000086355,Ascl4,ortholog_one2one,one2one,reg_9883,ENST00000342331.ASCL4.12,one2one,TRUE,TRUE,TRUE,Type match
ASCL5,bos_taurus,ENSBTAG00000071322,ASCL5,ortholog_one2one,one2one,reg_11126,ENST00000449188.ASCL5.40,one2one,TRUE,TRUE,TRUE,Type match
ASCL5,canis_lupus_familiaris,ENSCAFG00845019036,ASCL5,ortholog_one2one,one2one,reg_12807,ENST00000449188.ASCL5.42,one2one,TRUE,TRUE,TRUE,Type match
ASCL5,gorilla_gorilla,,,,,reg_7818,ENST00000449188.ASCL5.2,one2one,FALSE,TRUE,,TOGA only
ASCL5,macaca_mulatta,ENSMMUG00000017419,ASCL5,ortholog_one2one,one2one,reg_7498,ENST00000449188.ASCL5.15,one2one,TRUE,TRUE,TRUE,Type match
ASCL5,monodelphis_domestica,ENSMODG00000000174,ASCL5,ortholog_one2one,one2one,reg_5753,ENST00000449188.ASCL5.4,one2one,TRUE,TRUE,TRUE,Type match
ASCL5,mus_musculus,ENSMUSG00000097918,Ascl5,ortholog_one2one,one2one,reg_9219,ENST00000449188.ASCL5.8,one2one,TRUE,TRUE,TRUE,Type match
ASCL5,pan_troglodytes,ENSPTRG00000051709,ASCL5,ortholog_one2one,one2one,reg_2682,ENST00000449188.ASCL5.1,one2one,TRUE,TRUE,TRUE,Type match
ASCL5,rattus_norvegicus,ENSRNOG00000033391,Ascl5,ortholog_one2one,one2one,reg_16425,ENST00000449188.ASCL5.11,one2one,TRUE,TRUE,TRUE,Type match
