t_gene	t_transcript	q_gene	q_transcript	orthology_class
ENSG00000139351	ENST00000392927.SYCP3	reg_9265	ENST00000392927.SYCP3.21	many2many
ENSG00000139351	ENST00000392927.SYCP3	reg_14204	ENST00000392927.SYCP3.12783	many2many
ENSG00000177138	ENST00000362066.FAM9B	reg_14272	ENST00000362066.FAM9B.8823	many2many
ENSG00000177138	ENST00000362066.FAM9B	reg_9265	ENST00000362066.FAM9B.10130	many2many
ENSG00000177138	ENST00000651278.FAM9B	reg_14204	ENST00000651278.FAM9B.14780	many2many
ENSG00000177138	ENST00000651278.FAM9B	reg_9265	ENST00000651278.FAM9B.10130	many2many
ENSG00000183304	ENST00000381003.FAM9A	reg_9265	ENST00000381003.FAM9A.14447	many2many
ENSG00000187268	ENST00000380625.FAM9C	reg_14272	ENST00000380625.FAM9C.8722	many2many
ENSG00000187268	ENST00000380625.FAM9C	reg_9265	ENST00000380625.FAM9C.12639	many2many
ENSG00000119523	ENST00000476832.ALG2	reg_13277	ENST00000476832.ALG2.107	one2one
ENSG00000116161	ENST00000613570.CACYBP	reg_16650	ENST00000613570.CACYBP.40	one2one
ENSG00000116161	ENST00000367679.CACYBP	reg_16650	ENST00000367679.CACYBP.40	one2one
ENSG00000249861	ENST00000392051.LGALS16	reg_1616	ENST00000392051.LGALS16.154281	many2one
ENSG00000105198	ENST00000221797.LGALS13	reg_1616	ENST00000221797.LGALS13.156049	many2one
ENSG00000105198	ENST00000621475.LGALS13	reg_1616	ENST00000621475.LGALS13.156049	many2one
ENSG00000117543	ENST00000370109.DPH5	reg_12013	ENST00000370109.DPH5.1	one2one
ENSG00000117543	ENST00000342173.DPH5	reg_12013	ENST00000342173.DPH5.1	one2one
ENSG00000003989	ENST00000004531.SLC7A2	reg_15572	ENST00000004531.SLC7A2.101	one2one
ENSG00000003989	ENST00000470360.SLC7A2	reg_15572	ENST00000470360.SLC7A2.101	one2one
ENSG00000003989	ENST00000494857.SLC7A2	reg_15572	ENST00000494857.SLC7A2.101	one2one
ENSG00000162517	ENST00000373703.PEF1	reg_13097	ENST00000373703.PEF1.51	one2one
ENSG00000066044	ENST00000407627.ELAVL1	reg_3909	ENST00000407627.ELAVL1.160	one2one
ENSG00000198336	ENST00000572316.MYL4	reg_17116	ENST00000572316.MYL4.42	one2one
ENSG00000154493	ENST00000284694.C10orf90	reg_19047	ENST00000284694.C10orf90.14	one2one
ENSG00000154493	ENST00000356858.C10orf90	reg_19047	ENST00000356858.C10orf90.14	one2one
ENSG00000154493	ENST00000488181.C10orf90	reg_19047	ENST00000488181.C10orf90.14	one2one
ENSG00000084453	ENST00000458504.SLCO1A2	reg_10371	ENST00000458504.SLCO1A2.17	one2one
ENSG00000084453	ENST00000307378.SLCO1A2	reg_10371	ENST00000307378.SLCO1A2.17	one2one
ENSG00000139437	ENST00000405876.TCHP	reg_9612	ENST00000405876.TCHP.50	one2one
ENSG00000204695	ENST00000641895.OR14J1	reg_8543	ENST00000641895.OR14J1.32	one2one
ENSG00000005810	ENST00000544440.MYCBP2	reg_7773	ENST00000544440.MYCBP2.11	one2one
ENSG00000005810	ENST00000357337.MYCBP2	reg_7773	ENST00000357337.MYCBP2.11	one2one
ENSG00000005810	ENST00000683823.MYCBP2	reg_7773	ENST00000683823.MYCBP2.11	one2one
ENSG00000005810	ENST00000683697.MYCBP2	reg_7773	ENST00000683697.MYCBP2.11	one2one
ENSG00000005810	ENST00000682321.MYCBP2	reg_7773	ENST00000682321.MYCBP2.11	one2one
ENSG00000005810	ENST00000684354.MYCBP2	reg_7773	ENST00000684354.MYCBP2.11	one2one
ENSG00000003096	ENST00000262820.KLHL13	reg_14096	ENST00000262820.KLHL13.28	one2one
ENSG00000003096	ENST00000545703.KLHL13	reg_14096	ENST00000545703.KLHL13.28	one2one
ENSG00000003096	ENST00000469946.KLHL13	reg_14096	ENST00000469946.KLHL13.28	one2one
ENSG00000003096	ENST00000371882.KLHL13	reg_14096	ENST00000371882.KLHL13.28	one2one
ENSG00000003096	ENST00000541812.KLHL13	reg_14096	ENST00000541812.KLHL13.28	one2one
ENSG00000099381	ENST00000262519.SETD1A	reg_4581	ENST00000262519.SETD1A.44	one2one
ENSG00000204711	ENST00000377197.C9orf135	reg_18406	ENST00000377197.C9orf135.15	one2one
ENSG00000170322	ENST00000446488.NFRKB	reg_17364	ENST00000446488.NFRKB.83	one2one
ENSG00000170322	ENST00000524794.NFRKB	reg_17364	ENST00000524794.NFRKB.83	one2one
ENSG00000170322	ENST00000682444.NFRKB	reg_17364	ENST00000682444.NFRKB.83	one2one
ENSG00000133627	ENST00000256001.ACTR3B	reg_6181	ENST00000256001.ACTR3B.6	many2one
ENSG00000133627	ENST00000377776.ACTR3B	reg_6181	ENST00000377776.ACTR3B.6	many2one
ENSG00000106526	ENST00000252071.ACTR3C	reg_6181	ENST00000252071.ACTR3C.283	many2one
ENSG00000106526	ENST00000539352.ACTR3C	reg_6181	ENST00000539352.ACTR3C.283	many2one
ENSG00000106526	ENST00000683684.ACTR3C	reg_6181	ENST00000683684.ACTR3C.282	many2one
ENSG00000204308	ENST00000375094.RNF5	reg_8616	ENST00000375094.RNF5.32	one2one
ENSG00000214891	ENST00000617704.TRIM64C	reg_5748	ENST00000617704.TRIM64C.4372	many2many
ENSG00000214891	ENST00000617704.TRIM64C	reg_17256	ENST00000617704.TRIM64C.6390	many2many
ENSG00000214891	ENST00000617704.TRIM64C	reg_17319	ENST00000617704.TRIM64C.4026	many2many
ENSG00000214891	ENST00000617704.TRIM64C	reg_5702	ENST00000617704.TRIM64C.82742	many2many
ENSG00000214891	ENST00000617704.TRIM64C	reg_5769	ENST00000617704.TRIM64C.1603	many2many
ENSG00000214891	ENST00000617704.TRIM64C	reg_5937	ENST00000617704.TRIM64C.14523	many2many
ENSG00000214891	ENST00000617704.TRIM64C	reg_5703	ENST00000617704.TRIM64C.2734	many2many
ENSG00000214891	ENST00000617704.TRIM64C	reg_17281	ENST00000617704.TRIM64C.69	many2many
ENSG00000189253	ENST00000329862.TRIM64B	reg_17319	ENST00000329862.TRIM64B.3337	many2many
ENSG00000189253	ENST00000329862.TRIM64B	reg_17256	ENST00000329862.TRIM64B.5190	many2many
ENSG00000189253	ENST00000329862.TRIM64B	reg_5769	ENST00000329862.TRIM64B.14687	many2many
ENSG00000189253	ENST00000329862.TRIM64B	reg_17281	ENST00000329862.TRIM64B.941	many2many
ENSG00000189253	ENST00000329862.TRIM64B	reg_5748	ENST00000329862.TRIM64B.39	many2many
ENSG00000189253	ENST00000329862.TRIM64B	reg_5683	ENST00000329862.TRIM64B.7264	many2many
ENSG00000189253	ENST00000329862.TRIM64B	reg_5703	ENST00000329862.TRIM64B.10853	many2many
ENSG00000189253	ENST00000329862.TRIM64B	reg_5937	ENST00000329862.TRIM64B.8509	many2many
ENSG00000223417	ENST00000605881.TRIM49D1	reg_5702	ENST00000605881.TRIM49D1.39	many2many
ENSG00000223417	ENST00000605881.TRIM49D1	reg_5683	ENST00000605881.TRIM49D1.14687	many2many
ENSG00000223417	ENST00000605881.TRIM49D1	reg_17340	ENST00000605881.TRIM49D1.941	many2many
ENSG00000223417	ENST00000530311.TRIM49D1	reg_5683	ENST00000530311.TRIM49D1.14687	many2many
ENSG00000223417	ENST00000530311.TRIM49D1	reg_17340	ENST00000530311.TRIM49D1.941	many2many
ENSG00000223417	ENST00000530311.TRIM49D1	reg_5702	ENST00000530311.TRIM49D1.39	many2many
ENSG00000223417	ENST00000420869.TRIM49D1	reg_17340	ENST00000420869.TRIM49D1.945	many2many
ENSG00000223417	ENST00000420869.TRIM49D1	reg_5702	ENST00000420869.TRIM49D1.39	many2many
ENSG00000223417	ENST00000420869.TRIM49D1	reg_5683	ENST00000420869.TRIM49D1.18441	many2many
ENSG00000233802	ENST00000623787.TRIM49D2	reg_5702	ENST00000623787.TRIM49D2.941	many2many
ENSG00000233802	ENST00000623787.TRIM49D2	reg_17340	ENST00000623787.TRIM49D2.39	many2many
ENSG00000204449	ENST00000448984.TRIM49C	reg_5702	ENST00000448984.TRIM49C.12797	many2many
ENSG00000144010	ENST00000639673.TRIM43B	reg_5815	ENST00000639673.TRIM43B.66362	many2many
ENSG00000144010	ENST00000639673.TRIM43B	reg_5702	ENST00000639673.TRIM43B.2233	many2many
ENSG00000144010	ENST00000639673.TRIM43B	reg_17340	ENST00000639673.TRIM43B.11569	many2many
ENSG00000144010	ENST00000639673.TRIM43B	reg_5971	ENST00000639673.TRIM43B.16559	many2many
ENSG00000124900	ENST00000449290.TRIM51	reg_5703	ENST00000449290.TRIM51.20842	many2many
ENSG00000182053	ENST00000622138.TRIM49B	reg_17340	ENST00000622138.TRIM49B.1603	many2many
ENSG00000144015	ENST00000272395.TRIM43	reg_5748	ENST00000272395.TRIM43.15560	many2many
ENSG00000144015	ENST00000272395.TRIM43	reg_5702	ENST00000272395.TRIM43.2316	many2many
ENSG00000214414	ENST00000398290.TRIM77	reg_17340	ENST00000398290.TRIM77.11590	many2many
ENSG00000214414	ENST00000398290.TRIM77	reg_5683	ENST00000398290.TRIM77.941	many2many
ENSG00000220948	ENST00000649162.TRIM51GP	reg_5748	ENST00000649162.TRIM51GP.1603	many2many
ENSG00000220948	ENST00000649162.TRIM51GP	reg_5703	ENST00000649162.TRIM51GP.11474	many2many
ENSG00000220948	ENST00000649162.TRIM51GP	reg_17281	ENST00000649162.TRIM51GP.10445	many2many
ENSG00000220948	ENST00000649162.TRIM51GP	reg_5769	ENST00000649162.TRIM51GP.71541	many2many
ENSG00000168930	ENST00000329758.TRIM49	reg_17340	ENST00000329758.TRIM49.3337	many2many
ENSG00000168930	ENST00000532501.TRIM49	reg_17340	ENST00000532501.TRIM49.3337	many2many
ENSG00000168930	ENST00000532501.TRIM49	reg_5683	ENST00000532501.TRIM49.13811	many2many
ENSG00000204450	ENST00000533122.TRIM64	reg_5769	ENST00000533122.TRIM64.5190	many2many
ENSG00000204450	ENST00000533122.TRIM64	reg_5748	ENST00000533122.TRIM64.941	many2many
ENSG00000204450	ENST00000533122.TRIM64	reg_17319	ENST00000533122.TRIM64.13138	many2many
ENSG00000204450	ENST00000533122.TRIM64	reg_17256	ENST00000533122.TRIM64.1571	many2many
ENSG00000204450	ENST00000533122.TRIM64	reg_17281	ENST00000533122.TRIM64.39	many2many
ENSG00000204450	ENST00000533122.TRIM64	reg_5937	ENST00000533122.TRIM64.2491	many2many
ENSG00000204450	ENST00000533122.TRIM64	reg_5703	ENST00000533122.TRIM64.5636	many2many
ENSG00000150244	ENST00000417545.TRIM48	reg_5683	ENST00000417545.TRIM48.19447	many2many
ENSG00000150244	ENST00000417545.TRIM48	reg_17319	ENST00000417545.TRIM48.80060	many2many
ENSG00000150244	ENST00000417545.TRIM48	reg_17340	ENST00000417545.TRIM48.78676	many2many
