#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AHR	CLOCK	9606.ENSP00000242057	9606.ENSP00000426983	0	0	0	0.564	0.122	0.303	0	0.126	0.418
AHR	NCOA3	9606.ENSP00000242057	9606.ENSP00000361066	0	0	0	0.554	0.115	0.303	0	0.147	0.428
AHR	AHRR	9606.ENSP00000242057	9606.ENSP00000323816	0	0	0	0.764	0.044	0	0.540	0.156	0.596
AHR	NCOA1	9606.ENSP00000242057	9606.ENSP00000385216	0	0	0	0.553	0.091	0.643	0	0.153	0.702
AHR	NCOA2	9606.ENSP00000242057	9606.ENSP00000399968	0	0	0	0.553	0.091	0.643	0	0.163	0.705
AHR	ARNTL2	9606.ENSP00000242057	9606.ENSP00000266503	0	0	0	0.564	0.098	0.303	0.540	0.119	0.711
AHR	ARNTL	9606.ENSP00000242057	9606.ENSP00000384517	0	0	0	0.578	0.098	0.485	0.540	0.141	0.792
AHR	ARNT2	9606.ENSP00000242057	9606.ENSP00000307479	0	0	0	0.556	0.109	0.692	0.700	0.359	0.940
AHR	ARNT	9606.ENSP00000242057	9606.ENSP00000351407	0	0	0	0.554	0.109	0.996	0.800	0.495	0.999
AHRR	AHR	9606.ENSP00000323816	9606.ENSP00000242057	0	0	0	0.764	0.044	0	0.540	0.156	0.596
AHRR	ARNTL2	9606.ENSP00000323816	9606.ENSP00000266503	0	0	0	0.556	0.105	0.303	0.540	0.181	0.733
AHRR	ARNT2	9606.ENSP00000323816	9606.ENSP00000307479	0	0	0	0.554	0.091	0.303	0.700	0.277	0.844
AHRR	NCOA3	9606.ENSP00000323816	9606.ENSP00000361066	0	0	0	0.558	0.093	0.303	0	0.146	0.413
AHRR	NPAS2	9606.ENSP00000323816	9606.ENSP00000338283	0	0	0	0.556	0.091	0.303	0	0.158	0.420
AHRR	NCOA1	9606.ENSP00000323816	9606.ENSP00000385216	0	0	0	0.560	0.091	0.303	0	0.161	0.422
AHRR	CLOCK	9606.ENSP00000323816	9606.ENSP00000426983	0	0	0	0.553	0.091	0.303	0	0.185	0.438
AHRR	NCOA2	9606.ENSP00000323816	9606.ENSP00000399968	0	0	0	0.560	0.091	0.303	0	0.206	0.453
AHRR	ARNTL	9606.ENSP00000323816	9606.ENSP00000384517	0	0	0	0.562	0.091	0.303	0.540	0.193	0.733
AHRR	ARNT	9606.ENSP00000323816	9606.ENSP00000351407	0	0	0	0.556	0.091	0.485	0.700	0.339	0.894
ARNT	AHR	9606.ENSP00000351407	9606.ENSP00000242057	0	0	0	0.554	0.109	0.996	0.800	0.495	0.999
ARNT	TCF3	9606.ENSP00000351407	9606.ENSP00000262965	0	0	0	0	0.049	0.090	0	0.366	0.403
ARNT	EPAS1	9606.ENSP00000351407	9606.ENSP00000263734	0	0	0	0.592	0.062	0.994	0.900	0.990	0.999
ARNT	ARNTL2	9606.ENSP00000351407	9606.ENSP00000266503	0	0	0	0.794	0	0	0.540	0.087	0.562
ARNT	SIM2	9606.ENSP00000351407	9606.ENSP00000290399	0	0	0	0.585	0	0.908	0	0.601	0.962
ARNT	ARNT2	9606.ENSP00000351407	9606.ENSP00000307479	0	0	0.052	0.961	0	0	0.900	0.690	0.968
